index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
1945,00260985,한빛네트,"HanbitNet, Inc.",036720,
1957,00264529,엔플렉스,"Nplex,Inc.",040130,
1958,00358545,동서정보기술,"Dong Seo Information Technology Co., Ltd.",055000,
2698,00231567,애드모바일, ,032600,
3770,00359614,리더컴,"LEADER COMM.Co.,Ltd",056140,
3838,00153551,허메스홀딩스,"Hermesholdings Co.,LTD",012400,
3871,00344746,유티엑스,"UTX CO.,LTD.",045880,
3948,00261188,글로포스트,"Glopost CO., Ltd.",037830,
3949,00268020,쏠라엔텍,"SOLAR & TECH CO., LTD.",030390,
3950,00269287,보홍,"Bohong Co.,Ltd.",041320,
3989,00475286,동북아1호선박투자회사,DongBukaNO1ShipInvst,078420,
3996,00250775,에듀아크,"EDU ARK Co., Ltd.",046350,
4014,00114321,데코,Deco,013650,
4091,00191108,엘앤씨피,"L&CP CO.,Ltd",015390,
4108,00167378,희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640,
4115,00225210,퓨쳐인포넷,"Future Infonet, Inc.",058690,
4120,00223346,쓰리디넷,"3D NET Co.,Ltd.",035400,
4122,00174129,제일저축은행,Jeil Savings Bank,024100,
4123,00114826,제일창업투자,Korea First Venture Capital Corporation,026540,
4146,00173333,현대DSF,"HYUNDAI DSF CO.,LTD",016510,
4148,00687599,네프로아이티,"NEPRO IT CO., LTD.",950030,
4208,00256292,자강,ZAKANG Inc,036790,
4219,00271431,케이엠에스,"KMS Co., Ltd",038830,
4247,00154727,에버리소스,EVER RESOURCES INC.,020070,
4248,00246189,제이에스,JS Company Limited,037110,
4290,00154204,태창기업,"TAECHANG ENTERPRISE CO.,LTD",007490,
4297,00152631,에이치비이에너지,"HBE ENERGY CO.,LTD",017300,
4306,00358095,코어비트,COREBIT,056850,
4324,00510215,동북아8호선박투자회사,Dongbuka No.8 Ship Investment Company,082110,
4384,00347619,한국통신데이타,Korea Telecom Data Inc.,045760,
4394,00372013,케너텍,"KENERTEC CO., LTD.",062730,
